pageid	title	busyu	sokaku	edu_kanji	joyo_kanji	onyomi	kunyomi	jiscode	kuten
2666	一	* {{部首|一|0}}	* {{総画|1}}	[[Category:教育漢字_第1学年|いち]]	[[Category:常用漢字|いち]]	* 音読み,** [[呉音]] : [[イチ]],** [[漢音]] : [[イツ]]	* 訓読み,** 常用漢字表内,**: [[ひと]]、[[ひとつ|ひと-つ]],** 常用漢字表外,**: [[はじめ]]、[[てん]]、[[かづ]]、[[かつ]]、[[いる]]、[[まこと]]、[[かず]]、[[おさむ]]、[[か]]、[[かた]]、[[くに]]、[[さね]]、[[すすむ]]、[[たか]]、[[ただ]]、[[ち]]、[[のぶ]]、[[はじむ]]、[[ひ]]、[[ひじ]]、[[ひで]]、[[ひと]]、[[ひとし]]、[[まさし]]、[[もと]]、[[もろ]]	** [[JIS]]*** 16進：306C	** [[区点]]：16区76点
2897	千	*{{部首|十|1}}	*{{総画|3}}	[[Category:教育漢字_第1学年|せん]]	[[Category:常用漢字|せん]]	* 音読み,** [[呉音]] [[漢音]] : [[セン]]	* 訓読み : [[ち]]	** [[JIS]]*** 16進：4069	** [[区点]]：1面32区73点
2981	蒼	* {{部首|艸|10}}	* {{総画|13}} <!-- en版での総画数=16 -->			* 音読み,** [[呉音]] : [[ソウ]]([[サゥ]]),** [[漢音]] : [[ソウ]]([[サゥ]])	* 訓読み,*: [[あおい|あお-い]]	** [[JIS]]*** 16進：4173	** [[区点]]：1面33区83点
2982	紅	*{{部首|糸|3}}	*{{総画|9}}	[[Category:教育漢字 第6学年|こう]]	[[Category:常用漢字|こう]]	* 音読み,** [[呉音]] : [[グ]],** [[漢音]] : [[コウ]],** [[慣用音]] : [[ク]]	* 訓読み: [[べに]]、[[くれない]]（[[くれなゐ]]）、[[あかい]]	** [[JIS]]*** 16進：3948	** [[区点]]：1面25区40点
3329	飜	* {{部首|飛|12}}	* {{総画|21}}			* 音読み,** [[呉音]] : [[ホン]],** [[漢音]] : [[ハン]]	* 訓読み,*: [[ひるがえす|ひるが-えす]]、[[ひるがえる|ひるが-える]]	** [[JIS]]*** 16進：664C	** [[区点]]：1面70区44点
3503	腐	* {{部首|肉|8}}	* {{総画|14}}		[[Category:常用漢字|ふ]]	* 音読み,** [[呉音]] : [[ブ]],** [[漢音]] : [[フ]]	* 訓読み: [[くさる|くさ-る]]、[[くちる|く-ちる]]（[[くつ|く-つ]]）	** [[JIS]]*** 16進：4965	** [[区点]]：1面41区69点
3535	二	* {{部首|二|0}}	* {{総画|2}}	[[Category:教育漢字_第1学年|に]]	[[Category:常用漢字|に]]	* 音読み,** [[呉音]] : [[ニ]],** [[漢音]] : [[ジ]]	* 訓読み : [[ふた]],**（姓氏等）[[ふう]]	** [[JIS]]*** 16進：4673	** [[区点]]：1面38区83点
3738	步	*{{部首|止|3}}	*{{総画|7}}			* 音読み,** [[呉音]] : [[ブ]],** [[漢音]] : [[ホ]],** [[慣用音]] : [[フ]]	* 訓読み: [[あるく]]、[[あゆむ]]、[[あゆみ]]	** [[JIS]]*** 16進：7643	** [[区点]]：1面86区35点
3739	歩	*{{部首|止|4}}	*{{総画|8}}	[[Category:教育漢字_第2学年|ほ]]	[[Category:常用漢字|ほ]]	* 音読み,** [[呉音]] : [[ブ]],** [[漢音]] : [[ホ]],** [[慣用音]] : [[フ]]	* 訓読み,** 常用漢字表内,**: [[あるく|ある-く]]、[[あゆむ|あゆ-む]]	** [[JIS]]*** 16進：4A62	** [[区点]]：1面42区66点
7119	市	*{{部首|巾|2}}	*{{総画|5}}	[[Category:教育漢字 第2学年|し]]	[[Category:常用漢字|し]]	* 音読み,** [[呉音]] : [[ジ]](表外),** [[漢音]] : [[シ]]	* 訓読み : [[いち]]	** [[JIS]]*** 16進：3B54	** [[区点]]：1面27区52点
7143	du								
7202	親	* {{部首|見|9}}	* {{総画|16}}	[[Category:教育漢字 第2学年|しん]]	[[Category:常用漢字|しん]]	* 音読み,** [[呉音]] : [[シン]],** [[漢音]] : [[シン]]	* 訓読み,** 常用漢字表内,**: [[おや]]、[[したしい|した-しい]]、[[したしむ|した-しむ]],** 常用漢字表外,**: [[ちか]]、[[のり]]、[[ぎ]]	** [[JIS]]*** 16進：3F46	** [[区点]]：1面31区38点
7403	愛	* {{部首|心|9}}	* {{総画|13}}	[[Category:教育漢字_第4学年]]	[[Category:常用漢字]]	* 音読み,** [[呉音]] : [[アイ]], [[オ]](表外),** [[漢音]] : [[アイ]]	* 訓読み,** 常用漢字表内,**: 常用漢字表内の訓読みはありません。,** 常用漢字表外,**: [[めでる|め-でる]]、[[いつくしむ|いつく-しむ]]、[[おしむ|お-しむ]]、[[いとしい|いと-しい]]、[[え]]、[[まな]]	**[[JIS]]***16進：3026	**[[区点]]：16区06点
7619	唖	*{{部首|口|7}}	*{{総画|10}}			* 音読み,** [[呉音]] : [[エ]]、[[ヤク]],** [[漢音]] : [[ア]]、[[アク]]	* 訓読み: [[おし]]	** [[JIS]]*** 16進：3022	** [[区点]]：1面16区02点
7633	燐	*{{部首|火|13}}	*{{総画|17}}			* 音読み,** [[呉音]] [[漢音]] : [[リン]]		** [[JIS]]*** 16進：4E55	** [[区点]]：1面46区53点
